name,country_country_code,port_code,shipment_type_name
ZANZIBAR,TZ,ZNZ,Ocean
ILLYCHEVSK,UA,ILK,Ocean
ODESSA,UA,ODS,Ocean
ANCHORAGE,US,ANC,Ocean
BALTIMORE,US,BAL,Ocean
BBLS,US,BBL,Ocean
BEAUMONT,US,BPT,Ocean
BOSTON,US,BOS,Ocean
CAMDEN,US,CDE,Ocean
CARB,US,CAR,Ocean
CHARLESTON,US,CHS,Ocean
CHICAGO,US,CHI,Ocean
CL1,US,CL1,Ocean
CL2,US,CL2,Ocean
CL3,US,CL3,Ocean
CL4,US,CL4,Ocean
CL7,US,CL7,Ocean
CL9,US,CL9,Ocean
CSH,US,CSH,Ocean
DALLAS,US,DFW,Ocean
DETROIT,US,DET,Ocean
DUTCH HARBOR,US,DUT,Ocean
DUTCH HARBOR,US,DHC,Ocean
ECSA,US,ECS,Ocean
ELIZABETH,US,ELZ,Ocean
EVERETT,US,PAE,Ocean
FREEPORT,US,FRP,Ocean
GALVESTON,US,GLS,Ocean
GEORGETOWN,US,GGE,Ocean
GULFPORT,US,GPT,Ocean
HONOLULU,US,HNL,Ocean
HOUSTON,US,HOU,Ocean
HOUSTON1,US,HST,Ocean
INLAND,US,IPI,Ocean
IPDS,US,IPD,Ocean
JACKSONVILLE,US,JAX,Ocean
KSPAN,US,KSP,Ocean
LAMS,US,LAM,Ocean
LAR,US,LAR,Ocean
LAT,US,LAT,Ocean
LGB CHICAGO,US,LDC,Ocean
LGB INLAND,US,LBI,Ocean
LGB NEWYORK,US,LDN,Ocean
LGBNORTH,US,LGN,Ocean
LGBSOUTH,US,LGS,Ocean
LONG BEACH 1,US,LGC,Ocean
LONG BEACH 2,US,LGT,Ocean
LONG BEACH 3,US,LMW,Ocean
LONG BEACH NORTH,US,LXN,Ocean
LONG BEACH SOUTH,US,LXS,Ocean
LONGBEACH,US,LG4,Ocean
LONGBEACH,US,KXW,Ocean
LONGBEACH,US,LG5,Ocean
LONGBEACH,US,OSM,Ocean
LONGBEACH,US,AFM,Ocean
LONGBEACH,US,CLQ,Ocean
LONGBEACH,US,KX1,Ocean
LONGBEACH,US,KX0,Ocean
LONGBEACH,US,YDO,Ocean
LONGBEACH,US,KX2,Ocean
LONGBEACH,US,LG1,Ocean
LONGBEACH,US,LGB,Ocean
LONGBEACH,US,LG2,Ocean
LONGBEACH,US,LG3,Ocean
LONGBEACH INLAND,US,LGI,Ocean
LONGBEACHUS,US,SEX,Ocean
LONGVIEW,US,LGV,Ocean
LOSANGELES,US,KDO,Ocean
LOSANGELES,US,LA6,Ocean
LOSANGELES,US,LA5,Ocean
LOSANGELES,US,LA4,Ocean
LOSANGELES,US,LA3,Ocean
LOSANGELES,US,LHT,Ocean
LOSANGELES,US,LAX,Ocean
LOSANGELES,US,LAC,Ocean
LOSANGELES,US,LAL,Ocean
LOSANGELES,US,KKI,Ocean
LOSANGELES,US,LAS,Ocean
LOSANGELES,US,LAN,Ocean
LOSANGELES,US,LA2,Ocean
LOSANGELESLOCAL,US,LA1,Ocean
MBS OF LA,US,MBS,Ocean
MEMPHIS,US,MEM,Ocean
MIAMI,US,MIA,Ocean
MICRO LAND BRIDGE,US,MCB,Ocean
MIDLAND,US,MWS,Ocean
MILWAUKEE,US,MKE,Ocean
MINI LAND BRIDGE,US,MLB,Ocean
MOBILE,US,MOB,Ocean
NEW ORLEANS,US,NEW,Ocean
NEW YORK,US,NYC,Ocean
NEWARK,US,EWR,Ocean
NEWPORT NEWS,US,NEN,Ocean
NORFOLK,US,ORF,Ocean
OAKLAND,US,OAC,Ocean
OAKLAND,US,OKM,Ocean
OAKLAND,US,OAK,Ocean
OAKLAND,US,OAT,Ocean
OAKLAND,US,OKC,Ocean
OAKLAND,US,OKD,Ocean
OAKLAND,US,OAI,Ocean
PALM BEACH,US,PAB,Ocean
PHILADELPHIA,US,PHL,Ocean
PORT EVERGLADES,US,PEF,Ocean
PORTLAND,US,PDX,Ocean
PORTLAND,US,YP1,Ocean
PORTLAND,US,PWM,Ocean
PORTSMOUTH,US,PSM,Ocean
SAN FRANCISCO,US,SFO,Ocean
SAN PEDRO,US,SPQ,Ocean
SAN PEDRO5,US,SP5,Ocean
SAN PEDRO6,US,SP6,Ocean
SAVANNAH,US,SAV,Ocean
SEACHI,US,STC,Ocean
SEAIND,US,STI,Ocean
SEATLLE5,US,SE5,Ocean
SEATTLE,US,SEA,Ocean
SEATTLE,US,SE3,Ocean
SEATTLE,US,SE1,Ocean
SEATTLE,US,SE2,Ocean
SEATTLE CHICAGO,US,SEC,Ocean
SEATTLE NEW YORK,US,SEK,Ocean
SEATTLE4,US,SE4,Ocean
SEATTLE6,US,SE6,Ocean
ST LOUIS,US,STL,Ocean
STOCKTON,US,SCK,Ocean
TACOMA,US,TI1,Ocean
TACOMA,US,TI2,Ocean
TACOMA,US,YT2,Ocean
TACOMA,US,TW2,Ocean
TACOMA,US,TCM,Ocean
TACOMA,US,TW1,Ocean
TACOMA,US,TW3,Ocean
TACOMA,US,YT1,Ocean
TACOMA,US,TIW,Ocean
TAMPA,US,TPA,Ocean
TCB OF TACOMA,US,TCB,Ocean
TCD OF TACOMA,US,TCD,Ocean
US GULF,US,GLF,Ocean
US MIDDLE WEST,US,MIW,Ocean
VANCOUVER,US,BCB,Ocean
WCCA,US,WCC,Ocean
WCSA,US,WCS,Ocean
WILMINGTON,US,ILM,Ocean
WILMINGTON,US,WTN,Ocean
WSCA,US,WSC,Ocean
WSS,US,WSS,Ocean
YYG,US,YYG,Ocean
YYI,US,YYI,Ocean
YYW,US,YYW,Ocean
MONTEVIDEO,UY,MVD,Ocean
ST VINCENT,VC,SVD,Ocean
EL GUAMACHE,VE,EGU,Ocean
LA GUAIRA,VE,LAG,Ocean
MARACAIBO,VE,MAR,Ocean
MATANZAS,VE,MTV,Ocean
PUERTO CABELLO,VE,PBL,Ocean
DA NANG,VN,DAD,Ocean
DA-NANG,VN,TOU,Ocean
HAIPHONG,VN,HPH,Ocean
HOCHIMINH,VN,SGN,Ocean
HOCHIMINH,VN,SGC,Ocean
HOCHIMINH,VN,VIC,Ocean
HOCHIMINH,VN,CLP,Ocean
HOCHIMINH,VN,HCM,Ocean
VUNGTAU,VN,VUT,Ocean
PORTVILA,VU,PVI,Ocean
SANTO,VU,SAN,Ocean
VILA,VU,VLI,Ocean
APIA,WS,APW,Ocean
ADEN,YE,ADE,Ocean
HODEIDAH,YE,HOD,Ocean
MINA QABOOS,YE,MNQ,Ocean
CAPETOWN,ZA,CPT,Ocean
DURBAN,ZA,DUR,Ocean
EAST LONDON,ZA,ELS,Ocean
MOSSEL BAY,ZA,MZY,Ocean
NGQURA,ZA,ZBA,Ocean
PORT ELIZABETH,ZA,PLZ,Ocean
